ci_question_id,module,version,grade,section,question_type,bloom_level,question_stem,option_a,option_b,option_c,option_d,option_e,correct_option,weightage,time_secs,career_cluster_map,difficulty,is_behavioral,adaptive_trigger,explanation
APG10_CA_11,APTIPATH,V3,GRADE_10,CORE_APTITUDE,MCQ,EVALUATE,"A study claims students who eat breakfast score 15% higher on exams. A school then mandates breakfast for all students. The MAIN flaw in this decision is:","The sample size was probably too small","Correlation does not prove causation — breakfast may not be the direct cause of higher scores","Exams are unreliable measures of ability","Not all students can afford breakfast","N/A","B",5,90,"CORRECT=CRITICAL_REASONING+RESEARCH+LAW","HARD",FALSE,"BOOST_REASONING","Correlation vs causation is one of the most important critical thinking skills. Students who eat breakfast may have more stable homes or better sleep — confounding variables."
APG10_CA_12,APTIPATH,V3,GRADE_10,CORE_APTITUDE,MCQ,EVALUATE,"Is the number N divisible by 6? Statement 1: N is divisible by 3. Statement 2: N is divisible by 2. Which is correct?","Statement 1 alone is sufficient","Statement 2 alone is sufficient","Both statements TOGETHER are needed and sufficient","Neither statement alone or together is sufficient","N/A","C",5,90,"CORRECT=LOGICAL_REASONING+ANALYTICAL","HARD",FALSE,"BOOST_REASONING","Divisibility by 6 requires both factors 2 AND 3. Statement 1 alone gives only factor 3. Statement 2 alone gives only factor 2. Together they confirm both."
APG10_AC_01,APTIPATH,V3,GRADE_10,APPLIED_CHALLENGE,SITUATIONAL,EVALUATE,"You are organizing a coding hackathon. Budget: Rs.25000. Costs total Rs.30000. The MOST resourceful approach to bridge the Rs.5000 gap is:","Cancel the prize category entirely","Find a sponsor for prizes and redirect that freed-up budget to cover other costs","Reduce food quality significantly to save Rs.5000","Charge each participant Rs.500 entry fee","N/A","B",5,90,"A=CUTTING;B=CREATIVE_RESOURCEFUL;C=QUALITY_SACRIFICE;D=COST_TRANSFER","HARD",TRUE,"BOOST_BUSINESS+TECH","Sponsorship is creative resource generation — not cutting or transferring cost. This is how real entrepreneurs and event managers think."
APG10_AC_02,APTIPATH,V3,GRADE_10,APPLIED_CHALLENGE,SITUATIONAL,EVALUATE,"An AI company wants to build a factory in a rural area creating 500 jobs but requiring 100 acres of forest to be cleared. The BEST recommendation to the village council is:","Build the factory — jobs matter more than trees","Reject the factory completely — forests are irreplaceable","Propose the company build on non-forest degraded land and create a reforestation fund as compensation","Let the state government decide without local input","N/A","C",5,90,"A=ECONOMY_FIRST;B=ENVIRONMENT_FIRST;C=BALANCED_SYSTEMS;D=PASSIVE","HARD",TRUE,"BOOST_GREEN+SOCIAL","Option C is stakeholder balancing: jobs AND environment. This is ESG thinking — how sustainability professionals and policy makers approach real trade-offs."
APG10_AC_03,APTIPATH,V3,GRADE_10,APPLIED_CHALLENGE,SITUATIONAL,APPLY,"Your school library has 5000 books but students cannot find what they need. The BEST technology solution would be:","Buy 2000 more books to increase selection","Build a searchable digital catalog with QR codes on each book for instant location tracking","Hire two more full-time librarians","Remove unpopular books to reduce the collection size","N/A","B",5,90,"A=BRUTE_FORCE;B=TECH_SYSTEMS;C=HUMAN_RESOURCE;D=REDUCTION","MEDIUM",TRUE,"BOOST_TECH+ENGINEERING","Digital catalog + QR codes is a scalable tech solution that solves the search and discovery problem permanently. This is systems engineering thinking."
APG10_AC_04,APTIPATH,V3,GRADE_10,APPLIED_CHALLENGE,SITUATIONAL,ANALYZE,"Data shows: 80% of students who failed Math practiced less than 1hr/week while 90% who passed practiced 3+ hours. The MOST effective school intervention would be:","Ban failing students from extracurricular activities until grades improve","Create a structured daily 30-minute adaptive math practice program for all students","Replace the current math teacher","Make the math exam significantly easier","N/A","B",5,90,"A=PUNITIVE;B=DATA_DRIVEN_INTERVENTION;C=BLAME_SHIFTING;D=LOWERING_BAR","HARD",TRUE,"BOOST_TECH+HEALTH","Data-driven intervention: structured practice addresses the root cause (insufficient practice time) while adaptive difficulty personalizes the experience."
APG10_AC_05,APTIPATH,V3,GRADE_10,APPLIED_CHALLENGE,SITUATIONAL,EVALUATE,"You discover that a popular study app is secretly selling students personal data to coaching centers. The MOST important first action is:","Uninstall the app immediately from your own phone","Report the privacy violation to your school administration and to CERT-In (India's cybersecurity authority)","Spread the news through WhatsApp groups","Continue using the app but enter fake data","N/A","B",5,90,"A=INDIVIDUAL;B=SYSTEMIC_LEGAL;C=SOCIAL_MEDIA;D=DECEPTIVE","HARD",TRUE,"BOOST_LAW+TECH","Reporting to proper authorities creates systemic accountability. This is how data privacy law and cybersecurity professionals handle breaches."
APG10_AC_06,APTIPATH,V3,GRADE_10,APPLIED_CHALLENGE,SITUATIONAL,APPLY,"Farmers in your area sell vegetables at low prices to middlemen who sell at 3x markup in the city. The BEST technology-enabled solution would be:","Ask the government to ban all middlemen by law","Build a direct farmer-to-consumer delivery platform with transparent fair pricing","Convince farmers to grow different higher-value crops","Open your own vegetable shop in the city","N/A","B",5,90,"A=REGULATORY;B=TECH_PLATFORM;C=CROP_CHANGE;D=INDIVIDUAL_EFFORT","MEDIUM",TRUE,"BOOST_TECH+BUSINESS+GREEN","Platform-based disintermediation is how Uber Swiggy and other Indian startups solved similar problems. Reduces middleman markup while scaling."
APG10_AC_07,APTIPATH,V3,GRADE_10,APPLIED_CHALLENGE,SITUATIONAL,EVALUATE,"Your project group has 4 members. One consistently does not contribute. Deadline is in 3 days. You would:","Do their share yourself to meet the deadline","Remove them from the group and redistribute work to remaining 3","Have a direct conversation about the impact then offer help if stuck and set a micro-deadline for tomorrow","Report them to the teacher immediately without discussing first","N/A","C",5,75,"A=OVERWORK;B=REMOVAL;C=DIPLOMATIC_LEADERSHIP;D=AUTHORITY_ESCALATION","MEDIUM",TRUE,"BOOST_LEADERSHIP+MANAGEMENT","Option C is assertive leadership: direct communication + empathy + accountability through micro-deadlines. This is how effective managers handle underperformers."
APG10_AC_08,APTIPATH,V3,GRADE_10,APPLIED_CHALLENGE,SITUATIONAL,ANALYZE,"You want to test whether classical music improves exam scores. The BEST experimental design would be:","Survey students who listen to music about their exam performance","Split students into two random groups — one studies with music one without — then compare scores on the same test","Compare grades of students who already listen to music with those who do not","Play music for all students and see if the class average improves","N/A","B",5,90,"A=SURVEY_ONLY;B=CONTROLLED_EXPERIMENT;C=OBSERVATIONAL;D=NO_CONTROL","HARD",TRUE,"BOOST_RESEARCH+SCIENCE","Randomized controlled experiment is the gold standard of scientific method. Random assignment controls for confounding variables."
APG10_AC_09,APTIPATH,V3,GRADE_10,APPLIED_CHALLENGE,SITUATIONAL,APPLY,"You receive Rs.5000 as a birthday gift. Goals: save for a laptop (Rs.40000 in 1 year) and learn investing. The BEST allocation would be:","Spend it all on entertainment — you can save from next month","Save Rs.3500 in a fixed deposit and invest Rs.1000 in a mutual fund SIP and keep Rs.500 for spending","Put all Rs.5000 in a regular savings account at 3% interest","Invest the entire Rs.5000 in cryptocurrency","N/A","B",5,90,"A=SPEND_ALL;B=DIVERSIFIED_PLAN;C=LOW_RETURN;D=HIGH_RISK","MEDIUM",TRUE,"BOOST_FINANCE+BUSINESS","70% save + 20% invest + 10% spend is the classic budgeting approach. It builds financial discipline saving habit and investment literacy simultaneously."
APG10_AC_10,APTIPATH,V3,GRADE_10,APPLIED_CHALLENGE,SITUATIONAL,EVALUATE,"Traffic congestion in your city increases average commute by 40%. As an urban planner which COMBINATION would have the HIGHEST impact?","Build more roads and flyovers everywhere","Implement congestion pricing plus dedicated bus lanes plus cycling paths plus remote-work incentives","Ban all private vehicles permanently","Build underground tunnels throughout the city","N/A","B",5,90,"A=MORE_ROADS;B=MULTI_MODAL_SYSTEMS;C=DRASTIC;D=MEGA_PROJECT","HARD",TRUE,"BOOST_GREEN+ENGINEERING","Multi-modal systems approach addresses root causes (too many cars insufficient alternatives). Real urban planners use demand management not just supply increase."
APG10_IW_01,APTIPATH,V3,GRADE_10,INTEREST_WORK,RANK_ORDER,N/A,"These are real activities people do in their careers. Rank from 1 (most exciting to you) to 5 (least):","Solving advanced math problems or competitive coding challenges","Reading about medical breakthroughs and human body research","Analyzing company balance sheets and stock market trends","Debating social justice issues or writing persuasive legal arguments","Designing a product UI or creating digital artwork","PREFERENCE",0,120,"A=TECH+PCM;B=HEALTH+PCB;C=BUSINESS+COMMERCE;D=LAW+HUMANITIES;E=CREATIVE+DESIGN","N/A",TRUE,"STREAM_DETECT","This is the PRIMARY stream-detection question. Rank 1 directly maps to recommended stream: A→PCM B→PCB C→Commerce D→Humanities E→Any with design focus."
APG10_IW_02,APTIPATH,V3,GRADE_10,INTEREST_WORK,LIKERT,N/A,"I would love to spend a year in a research laboratory working intensely on a scientific problem no one has solved yet","1 - Not at all like me","2 - A little like me","3 - Somewhat like me","4 - Mostly like me","5 - Very much like me","PREFERENCE",0,30,"4-5=RESEARCH+PCB_OR_PCM;1-2=APPLIED+BUSINESS","N/A",TRUE,"BOOST_RESEARCH","Research orientation at Grade 10 predicts PhD aspirations and suitability for IISc IISER TIFR research tracks beyond standard engineering or medicine."
APG10_IW_03,APTIPATH,V3,GRADE_10,INTEREST_WORK,LIKERT,N/A,"I am genuinely fascinated by how economies work — concepts like inflation GDP supply and demand excite me","1 - Not at all like me","2 - A little like me","3 - Somewhat like me","4 - Mostly like me","5 - Very much like me","PREFERENCE",0,30,"4-5=COMMERCE+ECONOMICS+BUSINESS+FINANCE;1-2=SCIENCE+CREATIVE","N/A",TRUE,"BOOST_COMMERCE","Economics interest is the strongest Commerce stream predictor. Students scoring 4-5 here should seriously consider Commerce/Economics pathways."
APG10_IW_04,APTIPATH,V3,GRADE_10,INTEREST_WORK,CARD_SORT,N/A,"Sort each into: My CAREER dream / Enjoy as HOBBY / Not interested at all:","Performing surgeries and saving lives in an operating theatre","Building AI products used by millions of people worldwide","Running a business empire and managing large investments","Fighting legal cases in court for justice and human rights","Creating sustainable clean energy solutions for India","PREFERENCE",0,120,"A=HEALTH+PCB;B=TECH+PCM;C=BUSINESS+COMMERCE;D=LAW+HUMANITIES;E=GREEN+PCM","N/A",TRUE,"STREAM_DETECT","Career-bucket selection at Grade 10 has 75% predictive validity for Grade 11 stream satisfaction. Career=3x weight Hobby=1x Not-interested=eliminate."
APG10_IW_05,APTIPATH,V3,GRADE_10,INTEREST_WORK,LIKERT,N/A,"I enjoy expressing my thoughts through writing debating or creative storytelling far more than through numbers and formulas","1 - Not at all like me","2 - A little like me","3 - Somewhat like me","4 - Mostly like me","5 - Very much like me","PREFERENCE",0,30,"4-5=HUMANITIES+CREATIVE+LAW+MEDIA;1-2=STEM+ANALYTICAL","N/A",TRUE,"BOOST_HUMANITIES","Strong verbal-creative orientation (4-5) is the clearest Humanities or Law stream signal. These students thrive in language-intensive careers."
APG10_IW_06,APTIPATH,V3,GRADE_10,INTEREST_WORK,RANK_ORDER,N/A,"Which subject combination EXCITES you the most? Rank 1 (most) to 4 (least):","Physics + Mathematics + Computer Science","Biology + Chemistry + Psychology","Economics + Accountancy + Business Studies","History + Political Science + English Literature","N/A","PREFERENCE",0,90,"A=PCM;B=PCB;C=COMMERCE;D=HUMANITIES","N/A",TRUE,"STREAM_DETECT","Direct subject-combination preference is the most explicit stream signal. Rank 1 maps directly to recommended stream."
APG10_IW_07,APTIPATH,V3,GRADE_10,INTEREST_WORK,LIKERT,N/A,"I see myself leading people and managing organizations in the future rather than working in a deep technical or specialist role","1 - Not at all like me","2 - A little like me","3 - Somewhat like me","4 - Mostly like me","5 - Very much like me","PREFERENCE",0,30,"4-5=MANAGEMENT+BUSINESS+LEADERSHIP+MBA;1-2=SPECIALIST+TECHNICAL+RESEARCH","N/A",TRUE,"BOOST_BUSINESS+MANAGEMENT","Leadership vs specialist orientation determines ROLE TYPE within any stream: manager/leader vs engineer/researcher/specialist."
APG10_IW_08,APTIPATH,V3,GRADE_10,INTEREST_WORK,LIKERT,N/A,"I think about social problems like poverty inequality and injustice much more deeply than technological or scientific challenges","1 - Not at all like me","2 - A little like me","3 - Somewhat like me","4 - Mostly like me","5 - Very much like me","PREFERENCE",0,30,"4-5=HUMANITIES+SOCIAL+LAW+POLICY;1-2=TECH+ENGINEERING+SCIENCE","N/A",TRUE,"BOOST_HUMANITIES+SOCIAL","Social consciousness at Grade 10 strongly predicts Humanities Law and Social Science career paths and NGO or public policy work."
APG10_VM_01,APTIPATH,V3,GRADE_10,VALUES_MOTIVATION,RANK_ORDER,N/A,"Your dream job in 2035 — rank what matters MOST (1) to LEAST (4) to you:","Building technology that transforms how people live daily","Saving lives and improving health outcomes for patients","Creating personal wealth and achieving financial independence","Creating a more just and equal society for everyone","N/A","PREFERENCE",0,90,"A=TECH+ENGINEERING;B=HEALTH+MEDICINE;C=BUSINESS+FINANCE;D=SOCIAL+LAW+HUMANITIES","N/A",TRUE,"CLUSTER_DETECT","Career aspiration hierarchy at Grade 10 is the strongest value-level predictor of stream fit and long-term career satisfaction."
APG10_VM_02,APTIPATH,V3,GRADE_10,VALUES_MOTIVATION,LIKERT,N/A,"I believe the best use of intelligence is to build financial security and create wealth","1 - Strongly disagree","2 - Somewhat disagree","3 - Neutral","4 - Somewhat agree","5 - Strongly agree","PREFERENCE",0,30,"4-5=BUSINESS+FINANCE+COMMERCE;1-2=IMPACT+RESEARCH+CREATIVE","N/A",TRUE,"BOOST_COMMERCE","Wealth-building orientation strongly predicts Commerce MBA CA Finance and entrepreneurship career satisfaction."
APG10_VM_03,APTIPATH,V3,GRADE_10,VALUES_MOTIVATION,SITUATIONAL,EVALUATE,"You are admitted to both IIT CSE (ranked #1 in India) and a top international film school (your true creative passion). Tuition is similar. You would:","Choose IIT CSE — guaranteed high-paying career and family prestige","Choose film school — passion and creative fulfillment matter more than salary","Take IIT CSE and switch to filmmaking after earning enough money","Ask parents to make the final decision for you","N/A","SIGNAL",5,90,"A=SECURITY+PRESTIGE;B=PASSION_DRIVEN;C=STRATEGIC_PRAGMATIC;D=DEPENDENT","HARD",TRUE,"VALUES_DETECT","Each option reveals a distinct value system. A=security-first B=passion-first C=strategic (want both) D=external-dependent. No wrong answer — maps to personality."
APG10_VM_04,APTIPATH,V3,GRADE_10,VALUES_MOTIVATION,LIKERT,N/A,"I would rather discover something completely new through deep research than sell an existing product through marketing","1 - Strongly disagree","2 - Somewhat disagree","3 - Neutral","4 - Somewhat agree","5 - Strongly agree","PREFERENCE",0,30,"4-5=RESEARCH+SCIENCE+ACADEMIC+PhD;1-2=BUSINESS+MARKETING+SALES","N/A",TRUE,"BOOST_RESEARCH","Research vs commerce orientation is a fundamental personality axis that determines whether the student thrives in academia or industry."
APG10_VM_05,APTIPATH,V3,GRADE_10,VALUES_MOTIVATION,LIKERT,N/A,"Competition motivates me strongly — I perform at my absolute best when I am trying to beat others","1 - Strongly disagree","2 - Somewhat disagree","3 - Neutral","4 - Somewhat agree","5 - Strongly agree","PREFERENCE",0,30,"4-5=COMPETITIVE+JEE+NEET+CLAT+CA;1-2=COLLABORATIVE+RESEARCH+CREATIVE","N/A",TRUE,"BOOST_COMPETITIVE","Competitive orientation predicts readiness for India's toughest entrance exams: JEE Advanced NEET CLAT and CA which all require sustained competitive intensity."
APG10_VM_06,APTIPATH,V3,GRADE_10,VALUES_MOTIVATION,SITUATIONAL,EVALUATE,"Two paths at age 30: Path A — Rs.50 lakhs/year corporate consultant but feel unfulfilled. Path B — Rs.12 lakhs/year running an NGO that has changed 10000 lives. Which resonates more?","Path A — financial security is absolutely non-negotiable for me","Path B — impact and purpose define a meaningful life","Neither — I want BOTH money AND impact in the same career","I genuinely cannot decide between these two","N/A","SIGNAL",5,90,"A=FINANCE_FIRST;B=IMPACT_FIRST;C=ENTREPRENEURIAL;D=EXPLORATORY","MEDIUM",TRUE,"VALUES_DETECT","A=finance-driven B=mission-driven C=entrepreneurial mindset (wants both — strongest startup signal) D=still exploring. Option C students often become social entrepreneurs."
APG10_LB_01,APTIPATH,V3,GRADE_10,LEARNING_BEHAVIOR,MULTI_SELECT,N/A,"Which study strategies have been MOST effective for your board exam preparation? Select ALL that work for you:","Solving previous years question papers repeatedly","Creating concise summary notes and revision sheets for each chapter","Using apps or YouTube for concept visualization and explanation","Group study discussions and peer-teaching sessions","Practicing numerical problems until they become automatic","PREFERENCE",0,60,"A=EXAM_STRATEGIC+COMPETITIVE;B=ORGANIZED+SYSTEMATIC;C=DIGITAL_VISUAL;D=SOCIAL+COLLABORATIVE;E=ANALYTICAL+STEM","N/A",TRUE,"LEARNING_STYLE_DETECT","Method A predicts competitive exam readiness. Method E strongly predicts PCM/engineering success. Method D predicts social careers and team roles."
APG10_LB_02,APTIPATH,V3,GRADE_10,LEARNING_BEHAVIOR,LIKERT,N/A,"I create my own study schedule and follow it strictly rather than studying randomly whenever I feel motivated","1 - Not at all like me","2 - A little like me","3 - Somewhat like me","4 - Mostly like me","5 - Very much like me","PREFERENCE",0,30,"4-5=DISCIPLINED+STRUCTURED+COMPETITIVE_EXAM_READY;1-2=UNSTRUCTURED+NEEDS_COACHING","N/A",TRUE,"BOOST_ALL_ACADEMIC","Self-regulation at Grade 10 is the strongest predictor of competitive exam success (JEE NEET CLAT CA). Low scorers need structured coaching support."
APG10_LB_03,APTIPATH,V3,GRADE_10,LEARNING_BEHAVIOR,SITUATIONAL,ANALYZE,"Board exams are in 2 months. You are strong in 4 subjects but very weak in one critical subject. You would:","Focus entirely on the weak subject and sacrifice revision time from strong ones","Allocate 40% time to weak subject and 15% each to the other four to maintain overall score","Give up on the weak subject entirely and aim for perfect scores in the other four","Study all subjects equally regardless of strength or weakness","N/A","B",4,75,"A=ALL_IN;B=STRATEGIC_ALLOCATION;C=ABANDONMENT;D=EQUAL_UNSTRATEGIC","MEDIUM",TRUE,"BOOST_ANALYTICAL","Strategic allocation (B) maximizes total marks by investing heavily in the highest-growth area while maintaining strength in others. Optimization thinking."
APG10_LB_04,APTIPATH,V3,GRADE_10,LEARNING_BEHAVIOR,LIKERT,N/A,"I actively seek feedback from teachers and peers on my work because I know it accelerates my improvement","1 - Not at all like me","2 - A little like me","3 - Somewhat like me","4 - Mostly like me","5 - Very much like me","PREFERENCE",0,30,"4-5=FEEDBACK_SEEKING+GROWTH_MINDSET;1-2=FEEDBACK_RESISTANT","N/A",TRUE,"BOOST_GROWTH","Feedback-seeking behavior is one of the top 3 growth mindset indicators. It predicts performance in collaborative environments and fast-paced careers."
APG10_LB_05,APTIPATH,V3,GRADE_10,LEARNING_BEHAVIOR,LIKERT,N/A,"When I learn something new I immediately think about how it could be applied in real life or used to solve a real problem","1 - Not at all like me","2 - A little like me","3 - Somewhat like me","4 - Mostly like me","5 - Very much like me","PREFERENCE",0,30,"4-5=APPLIED_THINKER+ENGINEERING+BUSINESS+HEALTH;1-2=THEORETICAL+RESEARCH+PURE_SCIENCE","N/A",TRUE,"BOOST_APPLIED","Applied vs theoretical orientation determines career TYPE within any domain: engineer vs physicist doctor vs researcher business manager vs economist."
APG10_LB_06,APTIPATH,V3,GRADE_10,LEARNING_BEHAVIOR,LIKERT,N/A,"I enjoy the process of learning itself deeply even when there is no upcoming test grade or external reward attached","1 - Not at all like me","2 - A little like me","3 - Somewhat like me","4 - Mostly like me","5 - Very much like me","PREFERENCE",0,30,"4-5=INTRINSIC_LEARNER+STRONGEST_SUCCESS_PREDICTOR;1-2=EXTRINSIC_LEARNER","N/A",TRUE,"BOOST_ALL_ACADEMIC","Intrinsic learning motivation is the single most robust predictor of long-term academic and career success across all domains and cultures."
APG10_AIR_01,APTIPATH,V3,GRADE_10,AI_READINESS,MCQ,UNDERSTAND,"Machine Learning is a branch of AI where systems learn from:","Explicit rules written line by line by human programmers","Data and experience — improving without being reprogrammed for each specific task","Internet browsing and web searches","Only supervised human demonstrations","N/A","B",3,60,"CORRECT=AI_TECHNICAL+TECH","MEDIUM",FALSE,"BOOST_AI_READINESS","ML differs from traditional programming: instead of writing rules the system learns patterns from data. This is the foundation of modern AI applications."
APG10_AIR_02,APTIPATH,V3,GRADE_10,AI_READINESS,MCQ,APPLY,"A hospital uses AI to analyze X-ray images and flag potential fractures for doctors to review. This application combines:","AI and Finance","AI and Agriculture","AI and Healthcare creating Health AI","AI and Entertainment","N/A","C",3,60,"CORRECT=HEALTH_AI+TECH","MEDIUM",FALSE,"BOOST_HEALTH+TECH","Health AI is one of the fastest-growing career intersections globally. It combines medical domain knowledge with computer vision and machine learning."
APG10_AIR_03,APTIPATH,V3,GRADE_10,AI_READINESS,SITUATIONAL,EVALUATE,"An AI hiring tool automatically rejects 80% of women's resumes for engineering positions at a company. The MOST likely root cause is:","Women are generally less qualified for engineering roles","The AI was trained on historical hiring data that was biased against women","The AI system was deliberately programmed to discriminate by gender","Engineering requires male-specific physical abilities","N/A","B",5,90,"A=BIAS;B=AI_ETHICS_AWARE;C=CONSPIRACY;D=MISCONCEPTION","HARD",TRUE,"BOOST_AI_READINESS+SOCIAL","AI bias from training data is a critical real-world problem. Historical hiring patterns that favored men get learned and amplified by AI systems."
APG10_AIR_04,APTIPATH,V3,GRADE_10,AI_READINESS,MCQ,REMEMBER,"GPT as in ChatGPT stands for:","General Processing Technology","Generative Pre-trained Transformer","Global Pattern Training","Guided Prediction Technology","N/A","B",3,45,"CORRECT=AI_LITERATE+TECH","MEDIUM",FALSE,"BOOST_AI_READINESS","Generative = creates new content. Pre-trained = learned from massive data before deployment. Transformer = the neural network architecture enabling it."
APG10_AIR_05,APTIPATH,V3,GRADE_10,AI_READINESS,SITUATIONAL,EVALUATE,"Your teacher uses AI plagiarism detection which flags your original essay as 40% plagiarized because your writing resembles online articles. You would:","Accept the result — AI is always accurate","Request manual review and present your drafts and notes as evidence of original work","Rewrite the essay in a deliberately unusual style to avoid detection","Stop writing in proper English so the AI cannot match patterns","N/A","B",4,75,"A=AI_BLIND_TRUST;B=EVIDENCE_BASED_CHALLENGE;C=GAMING_SYSTEM;D=ABSURD","MEDIUM",TRUE,"BOOST_LAW+TECH","Option B shows critical thinking about AI limitations: AI tools have false positives and human review with evidence can correct them."
APG10_AIR_06,APTIPATH,V3,GRADE_10,AI_READINESS,MCQ,UNDERSTAND,"Which of these is NOT a real application of AI in India today?","UPI fraud detection on payment platforms","Identifying crop diseases from smartphone photographs","Predicting earthquakes with 100% accuracy days in advance","Real-time translation between Indian regional languages","N/A","C",3,60,"CORRECT=AI_REALISTIC+TECH","MEDIUM",FALSE,"BOOST_AI_READINESS","AI cannot predict earthquakes with 100% accuracy — this remains an unsolved scientific challenge. The other three are real deployed AI applications in India."
APG10_CR_01,APTIPATH,V3,GRADE_10,CAREER_REALITY,SITUATIONAL,EVALUATE,"Priya excels in all subjects equally but LOVES debating arguing cases and discussing social justice issues. She also enjoys math. The MOST important factor for her stream choice should be:","Her highest scoring subject on the board exam","Which competitive exam she wants to prepare for based on her career interest and passion","What stream her closest friends are choosing","Which stream is expected to have the easiest board exam","N/A","B",5,90,"A=SCORE_DRIVEN;B=CAREER_ALIGNED;C=SOCIAL_FOLLOWING;D=EFFORT_AVOIDANCE","HARD",TRUE,"CAREER_PATH_DETECT","Exam alignment with career interest is the correct decision framework. Debate + math + social justice = Law (CLAT) which can be pursued from any stream."
