ci_question_id,module,version,grade,section,question_type,bloom_level,question_stem,option_a,option_b,option_c,option_d,option_e,correct_option,weightage,time_secs,career_cluster_map,difficulty,is_behavioral,adaptive_trigger,explanation
APG8_AC_02,APTIPATH,V3,GRADE_8,APPLIED_CHALLENGE,SITUATIONAL,EVALUATE,"You find Rs.500 lying on the school playground. What is the MOST responsible action?","Keep it — finders keepers","Hand it immediately to your class teacher","Share it equally with your friends","Buy snacks for your class","N/A","B",3,60,"A=SELF_INTEREST;B=ETHICAL_RESPONSIBLE;C=SOCIAL;D=GENEROUS_IMPULSIVE","EASY",TRUE,"BOOST_LAW+SOCIAL","Reporting found money to authority is the ethical and responsible action. Tests integrity and rule-following under low-stakes conditions."
APG8_AC_03,APTIPATH,V3,GRADE_8,APPLIED_CHALLENGE,SITUATIONAL,EVALUATE,"Your best friend asks to copy your homework. You would most likely:","Let her copy — she is your best friend","Refuse completely and explain why it is not fair to either of you","Give her a hint so she can try to figure it out herself","Report it to the teacher right away","N/A","C",5,75,"A=LOYALTY_OVER_ETHICS;B=RULE_STRICT;C=EMPATHETIC_ETHICAL;D=AUTHORITY_RELIANT","MEDIUM",TRUE,"BOOST_SOCIAL+LEADERSHIP","Option C balances empathy with ethics — helping without enabling dishonesty. Signals strong social and ethical reasoning."
APG8_AC_04,APTIPATH,V3,GRADE_8,APPLIED_CHALLENGE,SITUATIONAL,APPLY,"Your school faces a water shortage every summer. The BEST sustainable solution you could propose would be:","Ask all students to bring water bottles from home","Install a rainwater harvesting system on the school roof","Remind students to use less water every day","Order packaged bottled water for the school","N/A","B",5,90,"A=INDIVIDUAL_EFFORT;B=SYSTEMS_GREEN;C=AWARENESS;D=COSTLY_UNSUSTAINABLE","MEDIUM",TRUE,"BOOST_GREEN+ENGINEERING","Rainwater harvesting is a scalable sustainable infrastructure solution. It addresses root cause not symptoms. Strong signal for engineering and green careers."
APG8_AC_05,APTIPATH,V3,GRADE_8,APPLIED_CHALLENGE,SITUATIONAL,ANALYZE,"You are building a model bridge with 10 popsicle sticks and glue that must hold a 200g weight. What would you do FIRST?","Glue all sticks together and test immediately","Sketch a plan and figure out the strongest shape before building","Search online for a bridge design and copy it exactly","Put the most sticks on top of the bridge","N/A","B",5,90,"A=TRIAL_ERROR;B=DESIGN_THINKING;C=RESEARCH;D=INTUITIVE","MEDIUM",TRUE,"BOOST_ENGINEERING+TECH","Planning before executing is the hallmark of engineering thinking. Triangular/arch shapes are strongest — testing shape logic before building is Design Thinking."
APG8_AC_06,APTIPATH,V3,GRADE_8,APPLIED_CHALLENGE,SITUATIONAL,EVALUATE,"A new student joins your class and sits alone at lunch every day. What would you do?","Ignore them — they will make friends eventually","Invite them to join your group today","Wait for the teacher to introduce them to classmates","Tell a few friends to be nicer to the new student","N/A","B",4,60,"A=INDIFFERENT;B=PROACTIVE_EMPATHY;C=AUTHORITY_DEPENDENT;D=INDIRECT","EASY",TRUE,"BOOST_HEALTH+SOCIAL","Direct proactive empathy (B) is the strongest social-emotional intelligence signal. Associated with healthcare counseling social work and team leadership."
APG8_AC_07,APTIPATH,V3,GRADE_8,APPLIED_CHALLENGE,SITUATIONAL,APPLY,"You want to save Rs.1500 to buy an anniversary gift for your parents in 3 months. You get Rs.200/week pocket money. Your plan would be:","Stop all snacks and save the full Rs.200/week","Ask your parents for extra money","Save Rs.125 per week for 12 weeks to reach exactly Rs.1500","Buy the gift now and pay back gradually","N/A","C",4,90,"A=EXTREME_SAVING;B=DEPENDENCY;C=FINANCIAL_PLANNING;D=DEBT","MEDIUM",TRUE,"BOOST_FINANCE+ANALYTICAL","Option C shows structured financial planning: 125 x 12 weeks = Rs.1500. Exactly on target. Signals numerical reasoning and goal-directed behavior."
APG8_AC_08,APTIPATH,V3,GRADE_8,APPLIED_CHALLENGE,SITUATIONAL,EVALUATE,"Your class project is to design an eco-friendly school bag. The BEST material choice would be:","Plastic (lightweight and cheap)","Recycled jute or cotton fabric (biodegradable and durable)","Leather (very strong and long-lasting)","Aluminium (extremely strong)","N/A","B",4,75,"A=COST_EFFICIENT;B=ECO_CONSCIOUS;C=QUALITY_FOCUSED;D=OVER_ENGINEERED","EASY",TRUE,"BOOST_GREEN+CREATIVE","Jute/cotton is biodegradable renewable and culturally relevant in India. Tests environmental awareness and design thinking combined."
APG8_IW_01,APTIPATH,V3,GRADE_8,INTEREST_WORK,RANK_ORDER,N/A,"Rank these activities from 1 (MOST enjoyable) to 5 (LEAST enjoyable) for you personally:","Drawing or painting something creative","Solving a tricky math or logic puzzle","Helping a classmate who is struggling","Building something with your hands (model or craft)","Writing a story or poem","PREFERENCE",0,120,"A=CREATIVE+DESIGN;B=TECH+ANALYTICAL;C=SOCIAL+HEALTH;D=ENGINEERING+MAKING;E=CREATIVE+MEDIA","N/A",TRUE,"CLUSTER_DETECT","Top-ranked activity reveals dominant career interest cluster. Rank 1 = primary cluster signal. Ranks 2-3 = secondary signals."
APG8_IW_02,APTIPATH,V3,GRADE_8,INTEREST_WORK,LIKERT,N/A,"I love learning about how machines and gadgets work — I often take things apart just to see how they are made","1 - Not at all like me","2 - A little like me","3 - Somewhat like me","4 - Mostly like me","5 - Very much like me","PREFERENCE",0,30,"4-5=ENGINEERING+TECH;1-2=CREATIVE+SOCIAL","N/A",TRUE,"BOOST_ENGINEERING","High score strongly predicts engineering mechanics robotics and manufacturing careers. Classic tinkerer profile."
APG8_IW_03,APTIPATH,V3,GRADE_8,INTEREST_WORK,LIKERT,N/A,"I enjoy reading about nature animals or how the human body works — it genuinely excites me","1 - Not at all like me","2 - A little like me","3 - Somewhat like me","4 - Mostly like me","5 - Very much like me","PREFERENCE",0,30,"4-5=HEALTH+BIOTECH+GREEN;1-2=TECH+BUSINESS","N/A",TRUE,"BOOST_HEALTH+GREEN","High score signals biology health sciences veterinary or environmental science cluster."
APG8_IW_04,APTIPATH,V3,GRADE_8,INTEREST_WORK,LIKERT,N/A,"I love activities where I can draw design decorate or create something completely from scratch","1 - Not at all like me","2 - A little like me","3 - Somewhat like me","4 - Mostly like me","5 - Very much like me","PREFERENCE",0,30,"4-5=CREATIVE+DESIGN+MEDIA;1-2=ANALYTICAL+TECH","N/A",TRUE,"BOOST_CREATIVE","Creative making orientation correlates with design architecture UI/UX media and content creation careers."
APG8_IW_05,APTIPATH,V3,GRADE_8,INTEREST_WORK,CARD_SORT,N/A,"Sort each into: Would LOVE as a career / Fun HOBBY only / Not interested at all:","Designing characters for video games","Working in a science laboratory","Teaching in a village school","Building and programming robots","Writing for a school or news publication","PREFERENCE",0,120,"A=CREATIVE+GAMING;B=RESEARCH+HEALTH;C=EDUCATION+SOCIAL;D=TECH+ENGINEERING;E=MEDIA+COMMUNICATION","N/A",TRUE,"CLUSTER_DETECT","Career bucket gets 3x weight over hobby. Not-interested eliminates clusters. This distinguishes genuine interest from casual enjoyment."
APG8_IW_06,APTIPATH,V3,GRADE_8,INTEREST_WORK,LIKERT,N/A,"I get excited when my group faces a tough challenge and I am the one who figures out the solution","1 - Not at all like me","2 - A little like me","3 - Somewhat like me","4 - Mostly like me","5 - Very much like me","PREFERENCE",0,30,"4-5=LEADERSHIP+ENGINEERING+TECH;1-2=COLLABORATIVE+SUPPORT","N/A",TRUE,"BOOST_LEADERSHIP+TECH","Problem-solving leadership orientation predicts engineering product management and entrepreneurship tracks."
APG8_IW_07,APTIPATH,V3,GRADE_8,INTEREST_WORK,LIKERT,N/A,"I prefer listening to someone who is upset and helping them feel better over solving a math problem","1 - Not at all like me","2 - A little like me","3 - Somewhat like me","4 - Mostly like me","5 - Very much like me","PREFERENCE",0,30,"4-5=HEALTH+SOCIAL+COUNSELING;1-2=TECH+ANALYTICAL","N/A",TRUE,"BOOST_HEALTH+SOCIAL","Strong empathy orientation (4-5) aligns with medicine nursing psychology counseling and social work careers."
APG8_IW_08,APTIPATH,V3,GRADE_8,INTEREST_WORK,RANK_ORDER,N/A,"Which subjects do you ENJOY learning the most? Rank 1 (most enjoyable) to 5 (least):","Mathematics","Science (Biology Physics Chemistry)","English or Languages","Social Studies or History","Art Music or Physical Education","PREFERENCE",0,90,"A=TECH+ANALYTICS+ENGINEERING;B=HEALTH+SCIENCE+BIOTECH;C=MEDIA+LAW+COMMUNICATION;D=SOCIAL+HISTORY+LAW;E=CREATIVE+SPORTS","N/A",TRUE,"CLUSTER_DETECT","Subject preference at age 13-14 is one of the strongest early predictors of career domain alignment."
APG8_VM_01,APTIPATH,V3,GRADE_8,VALUES_MOTIVATION,LIKERT,N/A,"I believe it is more important to help others than to become famous or very rich","1 - Strongly disagree","2 - Somewhat disagree","3 - Neutral","4 - Somewhat agree","5 - Strongly agree","PREFERENCE",0,30,"4-5=SOCIAL_IMPACT+HEALTH+GREEN;1-2=BUSINESS+COMPETITIVE","N/A",TRUE,"BOOST_SOCIAL_IMPACT","Social impact values at this age predict long-term satisfaction in medicine research teaching and sustainability careers."
APG8_VM_02,APTIPATH,V3,GRADE_8,VALUES_MOTIVATION,RANK_ORDER,N/A,"What would make you MOST proud of yourself as an adult? Rank 1 (most) to 4 (least):","Inventing something that millions of people use every day","Curing a disease that harms children","Starting a business that employs 500 people","Winning an Olympic gold medal for India","N/A","PREFERENCE",0,90,"A=TECH+INNOVATION;B=HEALTH+RESEARCH;C=BUSINESS+ENTREPRENEURSHIP;D=SPORTS+PERFORMANCE","N/A",TRUE,"CLUSTER_DETECT","Life aspiration at Grade 8 is a powerful intrinsic motivator signal. Maps to core career cluster before external pressure sets in."
APG8_VM_03,APTIPATH,V3,GRADE_8,VALUES_MOTIVATION,LIKERT,N/A,"I get very upset when something is unfair or when rules are broken — I feel strongly about doing the right thing","1 - Not at all like me","2 - A little like me","3 - Somewhat like me","4 - Mostly like me","5 - Very much like me","PREFERENCE",0,30,"4-5=LAW+GOVERNANCE+ETHICS;1-2=FLEXIBLE+PRACTICAL","N/A",TRUE,"BOOST_LAW+SOCIAL","Strong justice/fairness orientation is the foundational trait of lawyers judges social workers and policy-makers."
APG8_VM_04,APTIPATH,V3,GRADE_8,VALUES_MOTIVATION,LIKERT,N/A,"I prefer doing things in a completely new or creative way rather than following the usual method everyone uses","1 - Not at all like me","2 - A little like me","3 - Somewhat like me","4 - Mostly like me","5 - Very much like me","PREFERENCE",0,30,"4-5=CREATIVE+TECH+ENTREPRENEUR;1-2=SYSTEMATIC+STRUCTURED","N/A",TRUE,"BOOST_CREATIVE+ENTREPRENEUR","Innovation orientation correlates with design tech entrepreneurship research and creative fields."
APG8_VM_05,APTIPATH,V3,GRADE_8,VALUES_MOTIVATION,SITUATIONAL,EVALUATE,"You worked very hard on a group project and got an A+. But your friend who barely contributed gets equal credit. You would:","Feel angry and complain to the teacher","Accept it quietly and move on — it is a team project","Calmly talk to your friend later about sharing work fairly next time","Refuse to work in groups for the rest of the year","N/A","C",4,75,"A=COMPETITIVE_REACTIVE;B=COLLABORATIVE_PASSIVE;C=ASSERTIVE_FAIR;D=AVOIDANT","MEDIUM",TRUE,"BOOST_LEADERSHIP","Option C shows diplomatic assertiveness — a key leadership and management skill. Option A shows competitive drive. Neither is wrong — each reveals a values signature."
APG8_VM_06,APTIPATH,V3,GRADE_8,VALUES_MOTIVATION,LIKERT,N/A,"Making a difference in the world matters more to me than earning a very high salary","1 - Strongly disagree","2 - Somewhat disagree","3 - Neutral","4 - Somewhat agree","5 - Strongly agree","PREFERENCE",0,30,"4-5=IMPACT_DRIVEN+GREEN+HEALTH+SOCIAL;1-2=FINANCE+BUSINESS","N/A",TRUE,"BOOST_SOCIAL_IMPACT","Impact-before-money orientation at Grade 8 predicts sustained motivation in long demanding careers like medicine research and social enterprise."
APG8_LB_01,APTIPATH,V3,GRADE_8,LEARNING_BEHAVIOR,MULTI_SELECT,N/A,"How do you BEST understand a difficult concept? Select ALL that apply:","Draw a diagram or mind map","Read and re-read the textbook carefully","Watch a video explanation on YouTube or similar","Try a hands-on activity or simple experiment","Create practice questions or teach it to someone else","PREFERENCE",0,60,"A=VISUAL_SPATIAL;B=ACADEMIC_READER;C=DIGITAL_VISUAL;D=KINESTHETIC+ENGINEERING;E=DEEP_ANALYTICAL+TEACHING","N/A",TRUE,"LEARNING_STYLE_DETECT","Learning modality reveals how a student processes information. E (teaching others) is the highest mastery signal. D predicts engineering fit."
APG8_LB_02,APTIPATH,V3,GRADE_8,LEARNING_BEHAVIOR,LIKERT,N/A,"When I am curious about something I actively look it up and explore beyond what my teacher explained","1 - Not at all like me","2 - A little like me","3 - Somewhat like me","4 - Mostly like me","5 - Very much like me","PREFERENCE",0,30,"4-5=SELF_DIRECTED+RESEARCH;1-2=TEACHER_DEPENDENT","N/A",TRUE,"BOOST_RESEARCH+ACADEMIC","Self-directed curiosity is the #1 predictor of success in research academic and advanced STEM careers. It compounds over years."
APG8_LB_03,APTIPATH,V3,GRADE_8,LEARNING_BEHAVIOR,LIKERT,N/A,"I prefer getting things exactly right even if it takes longer rather than finishing quickly with mistakes","1 - Not at all like me","2 - A little like me","3 - Somewhat like me","4 - Mostly like me","5 - Very much like me","PREFERENCE",0,30,"4-5=DETAIL_ORIENTED+MEDICINE+RESEARCH;1-2=SPEED_ORIENTED+BUSINESS+ENTREPRENEUR","N/A",TRUE,"BOOST_MEDICINE+RESEARCH","Detail orientation (4-5) aligns with medicine surgery research quality assurance. Speed orientation (1-2) aligns with entrepreneurship business."
APG8_LB_04,APTIPATH,V3,GRADE_8,LEARNING_BEHAVIOR,SITUATIONAL,ANALYZE,"Your teacher gives a free project on any topic of your choice. You would:","Pick the easiest topic to finish quickly","Ask your parents what would be a good topic","Choose something you have been genuinely curious about for a long time","Pick the same topic your popular classmate chose","N/A","C",4,60,"A=EFFORT_AVOIDANT;B=EXTERNAL_DEPENDENT;C=INTRINSIC_MOTIVATED;D=SOCIAL_FOLLOWER","MEDIUM",TRUE,"BOOST_RESEARCH+ACADEMIC","Intrinsic motivation (C) is the strongest predictor of long-term academic success. It indicates genuine curiosity not externally driven performance."
APG8_LB_05,APTIPATH,V3,GRADE_8,LEARNING_BEHAVIOR,LIKERT,N/A,"I remember things better when I connect new information to something I already know or experienced","1 - Not at all like me","2 - A little like me","3 - Somewhat like me","4 - Mostly like me","5 - Very much like me","PREFERENCE",0,30,"4-5=CONNECTED_LEARNER+RESEARCH+CONCEPTUAL;1-2=ROTE_LEARNER","N/A",TRUE,"BOOST_RESEARCH","Connected learning (relating new to old) is the cognitive style of researchers scientists and strong conceptual thinkers."
APG8_LB_06,APTIPATH,V3,GRADE_8,LEARNING_BEHAVIOR,LIKERT,N/A,"I enjoy reading books or articles outside of school just because the topic interests me — not because I have to","1 - Not at all like me","2 - A little like me","3 - Somewhat like me","4 - Mostly like me","5 - Very much like me","PREFERENCE",0,30,"4-5=INTRINSIC_CURIOSITY+ALL_ACADEMIC;1-2=EXTERNAL_MOTIVATION","N/A",TRUE,"BOOST_RESEARCH+ACADEMIC","Voluntary reading is a cross-domain success predictor. Students who read by choice consistently outperform peers across all career tracks."
APG8_AIR_01,APTIPATH,V3,GRADE_8,AI_READINESS,MCQ,REMEMBER,"Which of the following is the BEST example of Artificial Intelligence being used in daily life?","A calculator adding two numbers","A streaming app suggesting movies and shows you might like","An alarm clock ringing at 7am","A fan automatically cooling the room","N/A","B",2,45,"CORRECT=TECH_AWARE+AI","EASY",FALSE,"BOOST_AI_READINESS","Recommendation systems use machine learning to analyze your past behavior and predict what you will enjoy next. This is core AI — not simple rule-following."
APG8_AIR_02,APTIPATH,V3,GRADE_8,AI_READINESS,TRUE_FALSE,UNDERSTAND,"True or False: A robot that only follows fixed pre-programmed instructions without learning anything new is considered an AI","True","False","N/A","N/A","N/A","B",2,30,"CORRECT=TECH_AWARE","EASY",FALSE,"BOOST_AI_READINESS","FALSE — True AI learns adapts and improves from data and experience. A robot following fixed rules is automation not artificial intelligence."
APG8_AIR_03,APTIPATH,V3,GRADE_8,AI_READINESS,MCQ,UNDERSTAND,"AI can recognize your face in photos and videos. The technology that enables this is called:","Face Coding","Computer Vision","Digital Photography","Screen Mapping","N/A","B",3,60,"CORRECT=TECH_AWARE+AI","EASY",FALSE,"BOOST_AI_READINESS","Computer Vision is the AI field that enables machines to see and interpret visual information from images and video."
APG8_AIR_04,APTIPATH,V3,GRADE_8,AI_READINESS,SITUATIONAL,APPLY,"Your school wants to build a smart attendance system. Which solution actually uses AI?","A teacher calls roll call and ticks manually","A fingerprint scanner linked to a database","A camera that automatically recognizes each student's face and marks them present","An app where students tap a button to mark attendance","N/A","C",3,60,"A=MANUAL;B=BIOMETRIC_NOT_AI;C=AI_COMPUTER_VISION;D=SELF_REPORTED","MEDIUM",FALSE,"BOOST_AI_READINESS","Face recognition attendance uses Computer Vision and Machine Learning — it learns to identify faces and improves with more data. That is AI in action."
APG8_CR_01,APTIPATH,V3,GRADE_8,CAREER_REALITY,MCQ,REMEMBER,"Which of these professionals would you MOST likely find working inside a hospital?","Civil Engineer","Orthopaedic Surgeon","Software Developer","Environmental Scientist","N/A","B",2,30,"CORRECT=HEALTH_AWARENESS","EASY",FALSE,"BOOST_HEALTH","Orthopaedic Surgeons specialize in bones joints and the musculoskeletal system. They work in hospitals clinics and operation theatres."
APG8_CR_02,APTIPATH,V3,GRADE_8,CAREER_REALITY,SITUATIONAL,UNDERSTAND,"Srishti is 13 years old and absolutely loves animals. She wants a career where she can work with animals every day. The BEST career path for her to explore would be:","Veterinary Science","Architecture","Commerce and Accounting","Film Acting","N/A","A",2,45,"A=HEALTH+ANIMALS;B=DESIGN;C=FINANCE;D=CREATIVE","EASY",TRUE,"BOOST_HEALTH","Veterinary Science combines love of animals with medical science. Other animal-related careers: Wildlife Biologist Marine Biologist Zoo Curator."
APG8_CR_03,APTIPATH,V3,GRADE_8,CAREER_REALITY,MCQ,UNDERSTAND,"A Data Scientist primarily works with:","Physical materials and chemicals in a laboratory","Patients in hospitals and clinics","Large amounts of data to find useful patterns and insights","Construction blueprints and building plans","N/A","C",2,45,"CORRECT=TECH+DATA_AWARENESS","EASY",FALSE,"BOOST_TECH","Data Scientists analyze large datasets using statistics and programming to discover insights that help businesses make decisions."
APG8_CR_04,APTIPATH,V3,GRADE_8,CAREER_REALITY,SITUATIONAL,APPLY,"Arjun loves mathematics and enjoys building and fixing things. Which engineering branch would MOST suit him?","Literature and Creative Writing","Mechanical or Civil Engineering","Music Production","Hotel Management","N/A","B",2,45,"A=CREATIVE;B=ENGINEERING;C=CREATIVE;D=HOSPITALITY","EASY",TRUE,"BOOST_ENGINEERING","Mechanical engineering focuses on machines motors energy and manufacturing. Civil engineering deals with structures bridges and infrastructure — both require strong math and spatial thinking."
APG8_GA_01,APTIPATH,V3,GRADE_8,GENERAL_AWARENESS,MCQ,REMEMBER,"Which Indian company is among the world's largest IT services companies?","BPCL","Infosys","BHEL","Air India","N/A","B",2,30,"CORRECT=TECH_AWARENESS","EASY",FALSE,"BOOST_TECH","Infosys TCS and Wipro are globally ranked IT services companies headquartered in India employing hundreds of thousands of engineers worldwide."
APG8_GA_02,APTIPATH,V3,GRADE_8,GENERAL_AWARENESS,TRUE_FALSE,UNDERSTAND,"True or False: The Sun is the closest star to planet Earth","True","False","N/A","N/A","N/A","A",2,30,"CORRECT=SCIENCE_AWARENESS","EASY",FALSE,"BOOST_STEM","TRUE — The Sun is approximately 150 million km from Earth. The next closest star is Proxima Centauri at 4.24 light-years."
APG8_GA_03,APTIPATH,V3,GRADE_8,GENERAL_AWARENESS,MCQ,REMEMBER,"Which Indian city is called the Silicon Valley of India because of its huge technology industry?","Mumbai","Pune","Bengaluru","Hyderabad","N/A","C",2,30,"CORRECT=TECH_AWARENESS","EASY",FALSE,"BOOST_TECH","Bengaluru (Bangalore) hosts thousands of IT companies startups and research labs making it India's technology capital."
APG8_GA_04,APTIPATH,V3,GRADE_8,GENERAL_AWARENESS,MCQ,REMEMBER,"ISRO stands for:","Indian Space Research Organisation","Indian Science Resource Organisation","International Space Robotics Organisation","Indian Satellite Research Office","N/A","A",2,30,"CORRECT=SCIENCE_AWARENESS+TECH","EASY",FALSE,"BOOST_TECH","ISRO is India's national space agency responsible for Chandrayaan Mangalyaan Gaganyaan and launching 100+ satellites."
APG8_GA_05,APTIPATH,V3,GRADE_8,GENERAL_AWARENESS,TRUE_FALSE,UNDERSTAND,"True or False: Renewable energy sources like solar power and wind energy will never run out because they are continuously replenished by nature","True","False","N/A","N/A","N/A","A",2,30,"CORRECT=GREEN_AWARENESS","EASY",FALSE,"BOOST_GREEN","TRUE — Unlike coal or oil which are finite renewable sources like solar wind hydro and geothermal are naturally replenished and will last as long as the Sun shines."
APG8_GA_06,APTIPATH,V3,GRADE_8,GENERAL_AWARENESS,MCQ,REMEMBER,"Who is known as the Father of the Indian Space Programme?","APJ Abdul Kalam","CV Raman","Vikram Sarabhai","Homi Bhabha","N/A","C",2,30,"CORRECT=SCIENCE_HISTORY","EASY",FALSE,"BOOST_TECH+SCIENCE","Dr Vikram Sarabhai founded ISRO in 1969 and established India's first rocket launching station at Thumba Kerala."
APG8_RIQ_01,APTIPATH,V3,GRADE_8,REASONING_IQ,MCQ,ANALYZE,"If BOAT is coded as CPBU (each letter shifted forward by 1) then SHIP would be coded as:","TIJK","TIJQ","THIQ","SIJQ","N/A","B",4,75,"CORRECT=CODING_LOGIC+TECH","MEDIUM",FALSE,"BOOST_REASONING","Each letter in SHIP shifts forward by 1: S→T H→I I→J P→Q. Result: TIJQ."
APG8_RIQ_02,APTIPATH,V3,GRADE_8,REASONING_IQ,MCQ,ANALYZE,"In a family: A is B's father. C is A's sister. D is C's mother. How is D related to B?","Mother","Grandmother","Aunt","Great-grandmother","N/A","B",4,75,"CORRECT=LOGICAL_REASONING+ANALYTICAL","MEDIUM",FALSE,"BOOST_REASONING","D is mother of C. C is sister of A. A is father of B. So D is grandmother of B through the maternal line of A."
APG8_RIQ_03,APTIPATH,V3,GRADE_8,REASONING_IQ,MCQ,ANALYZE,"What is the missing number? 1, 4, 9, 16, 25, ___","30","32","35","36","N/A","D",3,60,"CORRECT=MATHEMATICAL_PATTERN+TECH","EASY",FALSE,"BOOST_REASONING","These are perfect squares: 1²=1 2²=4 3²=9 4²=16 5²=25 6²=36."
APG8_RIQ_04,APTIPATH,V3,GRADE_8,REASONING_IQ,MCQ,ANALYZE,"Mohit faces South. He turns 90 degrees clockwise then turns 180 degrees. Which direction is he NOW facing?","North","South","East","West","N/A","C",4,75,"CORRECT=SPATIAL_REASONING+ENGINEERING","MEDIUM",FALSE,"BOOST_REASONING","Start: South. 90° clockwise → West. 180° turn → East. Final direction: East."
APG8_SF_01,APTIPATH,V3,GRADE_8,STEM_FOUNDATION,MCQ,REMEMBER,"Which gas do plants produce during the process of photosynthesis that humans need to breathe?","Carbon dioxide","Nitrogen","Oxygen","Hydrogen","N/A","C",2,30,"CORRECT=BIOLOGY_APTITUDE+HEALTH","EASY",FALSE,"BOOST_BIOLOGY","Photosynthesis: 6CO₂ + 6H₂O + sunlight → C₆H₁₂O₆ + 6O₂. Plants absorb CO₂ and release Oxygen."
