career_cluster,career_name,stream_required,key_exams,education_path,grade_8_9_signals,grade_10_section_emphasis,grade_11_12_stream,post_12_specialization,projected_growth_india,projected_growth_global,salary_range_entry_inr
HEALTH,Biotech Specialist,PCB or PCM,JEE Biotech/NEET/college entrance,"B.Tech Biotech/B.Sc → MS/PhD","Biology aptitude + lab interest + innovation VALUES","STEM_FOUNDATION biology + APPLIED_CHALLENGE lab",PCB or PCM,Engineering Biotech/Biomedical,High,High,4-15 LPA
HEALTH,Doctor (MBBS),PCB,NEET-UG → NEET-PG,"12th PCB → NEET → MBBS (5.5yr) → PG specialization","Empathy LIKERT 4-5 + biology interest + competitive VALUES + resilience","STEM biology + CAREER_REALITY medicine awareness",PCB,Medical - MBBS,Stable High,Stable High,5-25 LPA
HEALTH,Veterinarian,PCB,NEET-UG (Vet stream),"12th PCB → NEET → BVSc (5yr)","Animal/nature LIKERT 4-5 + biology + empathy","STEM biology + INTEREST nature/animals",PCB,Veterinary Science,Moderate,Moderate,4-10 LPA
GREEN,Renewable Energy Engineer,PCM,JEE Main/Advanced,"B.Tech EE/ME/Energy → renewable sector","GREEN LIKERT 4-5 + STEM strong + systems thinking","STEM physics + APPLIED_CHALLENGE environmental",PCM,Engineering - EE/ME/Energy,Very High,Very High,5-15 LPA
GREEN,ESG Analyst,Commerce or any,CA/MBA/CFA + ESG certification,"B.Com/BBA → MBA or CFA → ESG specialization","Environmental awareness + business interest + fairness VALUES","GENERAL_AWARENESS environment + VALUES social impact",Commerce or Any,MBA/Finance + ESG,Very High,Very High,6-20 LPA
GREEN,Green Hydrogen Engineer,PCM,JEE Main/Advanced + specialization,"B.Tech Chemical/Energy → green hydrogen R&D","GREEN + STEM chemistry/physics + innovation VALUES","STEM chemistry + APPLIED_CHALLENGE energy",PCM,Engineering - Chemical/Energy,Very High,Very High,6-18 LPA
ENGINEERING,Mechanical Engineer,PCM,JEE Main/Advanced,"B.Tech Mechanical → industry/R&D","Tinkerer LIKERT 4-5 + STEM physics + spatial REASONING_IQ","STEM physics + REASONING_IQ spatial",PCM,Engineering - Mechanical,Moderate,Moderate,4-12 LPA
ENGINEERING,Civil Engineer,PCM,JEE Main/Advanced,"B.Tech Civil → infrastructure/construction","Building/making interest + math + spatial reasoning","STEM math + APPLIED_CHALLENGE infrastructure",PCM,Engineering - Civil,Moderate,Moderate,4-10 LPA
ENGINEERING,Robotics Engineer,PCM,JEE Main/Advanced + robotics specialization,"B.Tech ME/ECE/CSE → robotics lab/startup","Tinkerer + coding + spatial + AI interest","STEM physics + AI_READINESS + REASONING_IQ",PCM,Engineering - ECE/Robotics,High,High,6-18 LPA
ENGINEERING,EV Engineer,PCM,JEE Main/Advanced,"B.Tech EE/ME/Auto → EV industry","GREEN + engineering + tech interest combination","STEM physics + GREEN awareness",PCM,Engineering - EE/Auto,Very High,Very High,5-15 LPA
BUSINESS,FinTech Engineer,PCM or Commerce,JEE/CA/MBA entrance,"B.Tech/B.Com → FinTech startup/company","Finance aptitude + coding logic + business interest","CORE_APTITUDE finance + STEM tech",PCM or Commerce,Engineering/Finance + Tech,Very High,Very High,8-22 LPA
BUSINESS,Entrepreneur,Any,Portfolio/execution-based,"Any degree → startup experience → build","Leadership LIKERT + business interest + risk-tolerant VALUES","APPLIED_CHALLENGE resource + VALUES autonomy",Any,Any + Business exposure,High,High,Variable
BUSINESS,CA (Chartered Accountant),Commerce,CA Foundation/Inter/Final,"12th Commerce → CA Foundation → Articleship → CA Final","Finance/math aptitude + detail oriented + discipline","CORE_APTITUDE math + VALUES discipline",Commerce,CA Professional,Stable High,N/A (India-specific),5-15 LPA
CREATIVE,UX/UI Designer,Any with design aptitude,Portfolio + design school,"Design degree or self-taught + portfolio","Creative LIKERT 4-5 + visual learning style + empathy","INTEREST creative + LEARNING visual",Any,Design/Creative,High,High,4-15 LPA
CREATIVE,Game Developer,PCM or Any with coding,Portfolio + game dev skills,"B.Tech CSE/Design degree → game studio","Creative + coding + TECH interest combination","STEM tech + INTEREST creative + AI_READINESS",PCM or Any,Engineering/Design + Gaming,High,Very High,5-18 LPA
SOCIAL,Teacher/Professor,Any,B.Ed/NET/PhD,"Degree in subject → B.Ed → NET/PhD for professor","Teaching others LEARNING + empathy + subject depth","LEARNING teaching signal + VALUES helping",Any,Education,Stable,Stable,3-12 LPA
SOCIAL,Psychologist/Counselor,PCB or Humanities,Entrance exams + MA/PhD,"BA/BSc Psychology → MA → license","Empathy LIKERT highest + listening interest + helping VALUES","VALUES empathy + INTEREST social",Humanities or PCB,Psychology/Social Work,High,High,3-10 LPA
LAW,Lawyer/Advocate,Any (Humanities preferred),CLAT/AILET/university entrance,"BA LLB (5yr) or LLB (3yr after graduation)","Fairness VALUES 4-5 + critical thinking + debate interest","VALUES justice + REASONING_IQ logic + GA current affairs",Humanities or Any,Law - BA LLB,High,High,3-15 LPA
LAW,Policy Analyst,Any,UPSC/research positions,"BA Political Science/Economics → MA/MPP → policy role","Social awareness + analytical + nation-building VALUES","GA current affairs + VALUES social impact",Humanities or Commerce,Public Policy/Governance,Moderate,Moderate,4-12 LPA
