"question_code","section_code","question_type","sequence_no","question_text"
"AP3_APPL_061","APPLIED_CHALLENGE","MCQ","155","Applied challenge (Applied Sciences): parent expectation is high and anxiety is rising. Best first intervention is:"
"AP3_APPL_062","APPLIED_CHALLENGE","MCQ","156","Applied challenge (School Board Excellence): strength in one subject is not translating to score. Best first intervention is:"
"AP3_APPL_063","APPLIED_CHALLENGE","MCQ","157","Applied challenge (IIT-JEE): mock accuracy drops while attempts increase. Best first intervention is:"
"AP3_APPL_064","APPLIED_CHALLENGE","MCQ","158","Applied challenge (NEET): high-confidence errors repeat across weeks. Best first intervention is:"
"AP2_REAL_01","CAREER_REALITY","MCQ","7","A career you like needs 3 years of disciplined practice. Your response is:"
"AP3_REAL_001","CAREER_REALITY","MCQ","7","Career reality: If anxiety increases before mocks, what is the best response?"
"AP2_REAL_02","CAREER_REALITY","MCQ","14","When your chosen target seems uncertain, you should:"
"AP3_REAL_002","CAREER_REALITY","MCQ","14","Career reality: If results fluctuate, what is the best long-term approach?"
"AP2_REAL_03","CAREER_REALITY","MCQ","21","If your score drops in one mock test, what is the best response?"
"AP2_REAL_04","CAREER_REALITY","MCQ","28","Communication-heavy roles require frequent presentations. You currently:"
"AP3_REAL_003","CAREER_REALITY","MCQ","277","Career reality and mental preparedness: If results are uncertain for 3-4 months, your best response is:"
"AP3_REAL_004","CAREER_REALITY","MCQ","278","Career reality and mental preparedness: If family expectations increase pressure, your best response is:"
"AP3_REAL_005","CAREER_REALITY","MCQ","279","Career reality and mental preparedness: If you need to present ideas publicly, your best response is:"
"AP3_REAL_006","CAREER_REALITY","MCQ","280","Career reality and mental preparedness: If you face repeated setbacks in one subject, your best response is:"
"AP3_REAL_007","CAREER_REALITY","MCQ","281","Career reality and mental preparedness: If two career paths seem attractive but demand different effort, your best response is:"
"AP3_REAL_008","CAREER_REALITY","MCQ","282","Career reality and mental preparedness: If friends progress faster for a short period, your best response is:"
"AP3_REAL_009","CAREER_REALITY","MCQ","283","Career reality and mental preparedness: If burnout signs appear during preparation, your best response is:"
"AP3_REAL_010","CAREER_REALITY","MCQ","284","Career reality and mental preparedness: If you need a fallback option while pursuing a stretch goal, your best response is:"
"AP3_REAL_011","CAREER_REALITY","MCQ","285","Career reality and mental preparedness: If communication-heavy roles create discomfort, your best response is:"
"AP3_REAL_012","CAREER_REALITY","MCQ","286","Career reality and mental preparedness: If results are uncertain for 3-4 months, your best response is:"
"AP3_REAL_013","CAREER_REALITY","MCQ","287","Career reality and mental preparedness: If family expectations increase pressure, your best response is:"
"AP3_REAL_014","CAREER_REALITY","MCQ","288","Career reality and mental preparedness: If you need to present ideas publicly, your best response is:"
"AP3_REAL_015","CAREER_REALITY","MCQ","289","Career reality and mental preparedness: If you face repeated setbacks in one subject, your best response is:"
"AP3_REAL_016","CAREER_REALITY","MCQ","290","Career reality and mental preparedness: If two career paths seem attractive but demand different effort, your best response is:"
"AP3_REAL_017","CAREER_REALITY","MCQ","291","Career reality and mental preparedness: If friends progress faster for a short period, your best response is:"
"AP3_REAL_018","CAREER_REALITY","MCQ","292","Career reality and mental preparedness: If burnout signs appear during preparation, your best response is:"
"AP3_REAL_019","CAREER_REALITY","MCQ","293","Career reality and mental preparedness: If you need a fallback option while pursuing a stretch goal, your best response is:"
"AP3_REAL_020","CAREER_REALITY","MCQ","294","Career reality and mental preparedness: If communication-heavy roles create discomfort, your best response is:"
"AP2_CORE_01","CORE_APTITUDE","MCQ","1","Verbal reasoning: Choose the best analogy. Catalyst is to reaction as coach is to:"
"AP3_CORE_001","CORE_APTITUDE","MCQ","1","Core aptitude: If 15 notebooks cost 600 rupees, what is the cost of 9 notebooks?"
"AP2_CORE_02","CORE_APTITUDE","MCQ","8","Quantitative: If 18 notebooks cost 540, what is the cost of 11 notebooks?"
"AP3_CORE_002","CORE_APTITUDE","MCQ","8","Core aptitude: In the sequence 5, 11, 17, 23, what comes next?"
"AP2_CORE_03","CORE_APTITUDE","MCQ","15","Logical reasoning: All coders are problem-solvers. Some mentors are coders. Which statement follows?"
"AP3_CORE_003","CORE_APTITUDE","MCQ","15","Core aptitude (quant): If 12 practice sheets cost 168 rupees, what is the cost of 5 sheets?"
"AP3_CORE_004","CORE_APTITUDE","MCQ","16","Core aptitude (quant): If 14 practice sheets cost 224 rupees, what is the cost of 7 sheets?"
"AP3_CORE_005","CORE_APTITUDE","MCQ","17","Core aptitude (quant): If 16 practice sheets cost 288 rupees, what is the cost of 9 sheets?"
"AP3_CORE_006","CORE_APTITUDE","MCQ","18","Core aptitude (quant): If 18 practice sheets cost 360 rupees, what is the cost of 11 sheets?"
"AP3_CORE_007","CORE_APTITUDE","MCQ","19","Core aptitude (quant): If 20 practice sheets cost 440 rupees, what is the cost of 13 sheets?"
"AP3_CORE_008","CORE_APTITUDE","MCQ","20","Core aptitude (quant): If 22 practice sheets cost 528 rupees, what is the cost of 15 sheets?"
"AP3_CORE_009","CORE_APTITUDE","MCQ","21","Core aptitude (quant): If 24 practice sheets cost 624 rupees, what is the cost of 17 sheets?"
"AP2_CORE_04","CORE_APTITUDE","MCQ","22","Spatial reasoning: A cube has opposite faces painted red and blue. If red is top, blue can be:"
"AP3_CORE_010","CORE_APTITUDE","MCQ","22","Core aptitude (quant): If 26 practice sheets cost 728 rupees, what is the cost of 5 sheets?"
"AP3_CORE_011","CORE_APTITUDE","MCQ","23","Core aptitude (quant): If 12 practice sheets cost 360 rupees, what is the cost of 7 sheets?"
"AP3_CORE_012","CORE_APTITUDE","MCQ","24","Core aptitude (quant): If 14 practice sheets cost 196 rupees, what is the cost of 9 sheets?"
"AP3_CORE_013","CORE_APTITUDE","MCQ","25","Core aptitude (quant): If 16 practice sheets cost 256 rupees, what is the cost of 11 sheets?"
"AP3_CORE_014","CORE_APTITUDE","MCQ","26","Core aptitude (quant): If 18 practice sheets cost 324 rupees, what is the cost of 13 sheets?"
"AP3_CORE_015","CORE_APTITUDE","MCQ","27","Core aptitude (quant): If 20 practice sheets cost 400 rupees, what is the cost of 15 sheets?"
"AP3_CORE_016","CORE_APTITUDE","MCQ","28","Core aptitude (quant): If 22 practice sheets cost 484 rupees, what is the cost of 17 sheets?"
"AP2_CORE_05","CORE_APTITUDE","MCQ","29","Quantitative: Ratio of boys to girls is 5:4 in a class of 45. Number of girls?"
"AP3_CORE_017","CORE_APTITUDE","MCQ","29","Core aptitude (quant): If 24 practice sheets cost 576 rupees, what is the cost of 5 sheets?"
"AP3_CORE_018","CORE_APTITUDE","MCQ","30","Core aptitude (quant): If 26 practice sheets cost 676 rupees, what is the cost of 7 sheets?"
"AP3_CORE_019","CORE_APTITUDE","MCQ","31","Core aptitude (quant): If 12 practice sheets cost 336 rupees, what is the cost of 9 sheets?"
"AP2_CORE_06","CORE_APTITUDE","MCQ","32","Verbal: Choose the sentence with strongest logical structure."
"AP3_CORE_020","CORE_APTITUDE","MCQ","32","Core aptitude (quant): If 14 practice sheets cost 420 rupees, what is the cost of 11 sheets?"
"AP3_CORE_021","CORE_APTITUDE","MCQ","33","Core aptitude (quant): If 16 practice sheets cost 224 rupees, what is the cost of 13 sheets?"
"AP3_CORE_022","CORE_APTITUDE","MCQ","34","Core aptitude (quant): If 18 practice sheets cost 288 rupees, what is the cost of 15 sheets?"
"AP2_CORE_07","CORE_APTITUDE","MCQ","35","Logical sequence: 3, 7, 15, 31, ?"
"AP3_CORE_023","CORE_APTITUDE","MCQ","35","Core aptitude (quant): If 20 practice sheets cost 360 rupees, what is the cost of 17 sheets?"
"AP3_CORE_024","CORE_APTITUDE","MCQ","36","Core aptitude (quant): If 22 practice sheets cost 440 rupees, what is the cost of 5 sheets?"
"AP2_CORE_08","CORE_APTITUDE","MCQ","37","Spatial: A paper is folded twice and one corner is cut. After unfolding, cuts appear:"
"AP3_CORE_025","CORE_APTITUDE","MCQ","37","Core aptitude (quant): If 24 practice sheets cost 528 rupees, what is the cost of 7 sheets?"
"AP3_CORE_026","CORE_APTITUDE","MCQ","38","Core aptitude (quant): If 26 practice sheets cost 624 rupees, what is the cost of 9 sheets?"
"AP2_CORE_09","CORE_APTITUDE","MCQ","39","Quantitative: If a speed increases from 40 km/h to 50 km/h, percentage increase is:"
"AP3_CORE_027","CORE_APTITUDE","MCQ","39","Core aptitude (quant): If 12 practice sheets cost 312 rupees, what is the cost of 11 sheets?"
"AP2_CORE_10","CORE_APTITUDE","MCQ","40","Verbal inference: Which statement is strongest when evidence is incomplete?"
"AP3_CORE_028","CORE_APTITUDE","MCQ","40","Core aptitude (quant): If 14 practice sheets cost 392 rupees, what is the cost of 13 sheets?"
"AP2_CORE_11","CORE_APTITUDE","MCQ","41","Logical puzzle: If no A is B, and some C are B, then which is definitely true?"
"AP3_CORE_029","CORE_APTITUDE","MCQ","41","Core aptitude (quant): If 16 practice sheets cost 480 rupees, what is the cost of 15 sheets?"
"AP2_CORE_12","CORE_APTITUDE","MCQ","42","Numeric reasoning: A test has 80 questions and you solved 60%. How many were solved?"
"AP3_CORE_030","CORE_APTITUDE","MCQ","42","Core aptitude (quant): If 18 practice sheets cost 252 rupees, what is the cost of 17 sheets?"
"AP3_CORE_031","CORE_APTITUDE","MCQ","43","Core aptitude (numeric): Score increases from 80 to 88. Percentage increase is:"
"AP3_CORE_032","CORE_APTITUDE","MCQ","44","Core aptitude (numeric): Score increases from 100 to 115. Percentage increase is:"
"AP3_CORE_033","CORE_APTITUDE","MCQ","45","Core aptitude (numeric): Score increases from 120 to 144. Percentage increase is:"
"AP3_CORE_034","CORE_APTITUDE","MCQ","46","Core aptitude (numeric): Score increases from 140 to 175. Percentage increase is:"
"AP3_CORE_035","CORE_APTITUDE","MCQ","47","Core aptitude (numeric): Score increases from 160 to 208. Percentage increase is:"
"AP3_CORE_036","CORE_APTITUDE","MCQ","48","Core aptitude (numeric): Score increases from 180 to 252. Percentage increase is:"
"AP3_CORE_037","CORE_APTITUDE","MCQ","49","Core aptitude (numeric): Score increases from 200 to 220. Percentage increase is:"
"AP3_CORE_038","CORE_APTITUDE","MCQ","50","Core aptitude (numeric): Score increases from 220 to 253. Percentage increase is:"
"AP3_CORE_039","CORE_APTITUDE","MCQ","51","Core aptitude (numeric): Score increases from 80 to 96. Percentage increase is:"
"AP3_CORE_040","CORE_APTITUDE","MCQ","52","Core aptitude (numeric): Score increases from 100 to 125. Percentage increase is:"
"AP3_CORE_041","CORE_APTITUDE","MCQ","53","Core aptitude (numeric): Score increases from 120 to 156. Percentage increase is:"
"AP3_CORE_042","CORE_APTITUDE","MCQ","54","Core aptitude (numeric): Score increases from 140 to 196. Percentage increase is:"
"AP3_CORE_043","CORE_APTITUDE","MCQ","55","Core aptitude (numeric): Score increases from 160 to 176. Percentage increase is:"
"AP3_CORE_044","CORE_APTITUDE","MCQ","56","Core aptitude (numeric): Score increases from 180 to 207. Percentage increase is:"
"AP3_CORE_045","CORE_APTITUDE","MCQ","57","Core aptitude (numeric): Score increases from 200 to 240. Percentage increase is:"
"AP3_CORE_046","CORE_APTITUDE","MCQ","58","Core aptitude (numeric): Score increases from 220 to 275. Percentage increase is:"
"AP3_CORE_047","CORE_APTITUDE","MCQ","59","Core aptitude (numeric): Score increases from 80 to 104. Percentage increase is:"
"AP3_CORE_048","CORE_APTITUDE","MCQ","60","Core aptitude (numeric): Score increases from 100 to 140. Percentage increase is:"
"AP3_CORE_049","CORE_APTITUDE","MCQ","61","Core aptitude (numeric): Score increases from 120 to 132. Percentage increase is:"
"AP3_CORE_050","CORE_APTITUDE","MCQ","62","Core aptitude (numeric): Score increases from 140 to 161. Percentage increase is:"
"AP3_CORE_051","CORE_APTITUDE","MCQ","63","Core aptitude (numeric): Score increases from 160 to 192. Percentage increase is:"
"AP3_CORE_052","CORE_APTITUDE","MCQ","64","Core aptitude (numeric): Score increases from 180 to 225. Percentage increase is:"
"AP3_CORE_053","CORE_APTITUDE","MCQ","65","Core aptitude (numeric): Score increases from 200 to 260. Percentage increase is:"
"AP3_CORE_054","CORE_APTITUDE","MCQ","66","Core aptitude (numeric): Score increases from 220 to 308. Percentage increase is:"
"AP3_CORE_055","CORE_APTITUDE","MCQ","67","Core aptitude (pattern): 2, 5, 8, 11, ?"
"AP3_CORE_056","CORE_APTITUDE","MCQ","68","Core aptitude (pattern): 3, 7, 11, 15, ?"
"AP3_CORE_057","CORE_APTITUDE","MCQ","69","Core aptitude (pattern): 4, 9, 14, 19, ?"
"AP3_CORE_058","CORE_APTITUDE","MCQ","70","Core aptitude (pattern): 5, 11, 17, 23, ?"
"AP3_CORE_059","CORE_APTITUDE","MCQ","71","Core aptitude (pattern): 6, 13, 20, 27, ?"
"AP3_CORE_060","CORE_APTITUDE","MCQ","72","Core aptitude (pattern): 7, 10, 13, 16, ?"
"AP3_CORE_061","CORE_APTITUDE","MCQ","73","Core aptitude (pattern): 8, 12, 16, 20, ?"
"AP3_CORE_062","CORE_APTITUDE","MCQ","74","Core aptitude (pattern): 9, 14, 19, 24, ?"
"AP3_CORE_063","CORE_APTITUDE","MCQ","75","Core aptitude (pattern): 10, 16, 22, 28, ?"
"AP3_CORE_064","CORE_APTITUDE","MCQ","76","Core aptitude (pattern): 11, 18, 25, 32, ?"
"AP3_CORE_065","CORE_APTITUDE","MCQ","77","Core aptitude (pattern): 12, 15, 18, 21, ?"
"AP3_CORE_066","CORE_APTITUDE","MCQ","78","Core aptitude (pattern): 13, 17, 21, 25, ?"
"AP3_CORE_067","CORE_APTITUDE","MCQ","79","Core aptitude (pattern): 14, 19, 24, 29, ?"
"AP3_CORE_068","CORE_APTITUDE","MCQ","80","Core aptitude (pattern): 15, 21, 27, 33, ?"
"AP3_CORE_069","CORE_APTITUDE","MCQ","81","Core aptitude (pattern): 16, 23, 30, 37, ?"
"AP3_CORE_070","CORE_APTITUDE","MCQ","82","Core aptitude (pattern): 17, 20, 23, 26, ?"
"AP3_CORE_071","CORE_APTITUDE","MCQ","83","Core aptitude (pattern): 18, 22, 26, 30, ?"
"AP3_CORE_072","CORE_APTITUDE","MCQ","84","Core aptitude (pattern): 19, 24, 29, 34, ?"
"AP3_CORE_073","CORE_APTITUDE","MCQ","85","All coders are problem-solvers. Some mentors are coders. Which follows?"
"AP3_CORE_074","CORE_APTITUDE","MCQ","86","No A is B. Some C are B. Which is definitely true?"
"AP3_CORE_075","CORE_APTITUDE","MCQ","87","All planners track tasks. Riya tracks tasks. Best conclusion?"
"AP3_CORE_076","CORE_APTITUDE","MCQ","88","If all X are Y and all Y are Z, then:"
"AP3_CORE_077","CORE_APTITUDE","MCQ","89","Some students are artists. All artists are disciplined. Which follows?"
"AP3_CORE_078","CORE_APTITUDE","MCQ","90","If P implies Q and Q implies R, then P implies:"
"AP3_CORE_079","CORE_APTITUDE","MCQ","91","All mock tests improve speed. This is a mock test. Therefore:"
"AP3_CORE_080","CORE_APTITUDE","MCQ","92","No doctor is careless. Some interns are doctors. Therefore:"
"AP3_CORE_081","CORE_APTITUDE","MCQ","93","All structured plans reduce chaos. Weekly planner is structured. Therefore:"
"AP3_CORE_082","CORE_APTITUDE","MCQ","94","Some engineers are teachers. All teachers communicate clearly. Therefore:"
"AP3_CORE_083","CORE_APTITUDE","MCQ","95","If a strategy is data-driven, it is testable. This strategy is data-driven. Therefore:"
