Section,Question_ID,Grade_Band,Question_Text,Type,Tags,Adaptivity_Notes
Aptitude,AP-G10-A-06,GRADE_10,Compound interest on Rs 10000 at 10% per year for 2 years is? A) Rs 2000 B) Rs 2050 C) Rs 2100 D) Rs 2200,MCQ,"aptitude,grade_10,finance",grade_10_finance
Aptitude,AP-G10-A-07,GRADE_10,A train covers 180 km in 3 hours. Speed is? A) 45 kmph B) 50 kmph C) 55 kmph D) 60 kmph,MCQ,"aptitude,grade_10,speed_distance",grade_10_application
Aptitude,AP-G10-A-08,GRADE_10,If one angle of a linear pair is 68 degree then the other angle is? A) 102 degree B) 108 degree C) 112 degree D) 122 degree,MCQ,"aptitude,grade_10,geometry",grade_10_geometry
Reasoning,AP-G10-R-01,GRADE_10,Find the next number: 5 11 23 47 ? A) 89 B) 91 C) 95 D) 97,MCQ,"reasoning,grade_10,series",grade_10_logic
Reasoning,AP-G10-R-02,GRADE_10,If GARDEN is coded as HBSEFO then MARKET is coded as? A) NBSLFU B) NBSLFS C) NBRLFT D) NBSKFU,MCQ,"reasoning,grade_10,coding",grade_10_pattern
Reasoning,AP-G10-R-03,GRADE_10,No artists are bankers. Some bankers are coders. Which conclusion is valid? A) Some artists are coders B) No artist is banker C) All coders are bankers D) All bankers are artists,MCQ,"reasoning,grade_10,syllogism",grade_10_logic
Reasoning,AP-G10-R-04,GRADE_10,Statement: Online classes improve access. Conclusion: Students in remote areas can attend lessons. A) Only statement true B) Conclusion follows C) Conclusion does not follow D) Both false,MCQ,"reasoning,grade_10,conclusion",grade_10_inference
Reasoning,AP-G10-R-05,GRADE_10,If today is Monday then day after 100 days will be? A) Monday B) Tuesday C) Wednesday D) Thursday,MCQ,"reasoning,grade_10,calendar",grade_10_logic
Reasoning,AP-G10-R-06,GRADE_10,A is taller than B. B is taller than C. Which is true? A) C tallest B) A taller than C C) B taller than A D) None,MCQ,"reasoning,grade_10,comparison",grade_10_inference
Reasoning,AP-G10-R-07,GRADE_10,Five friends sit in a row. R is between P and Q. S is at one end. Who can be in the middle? A) R B) S C) P only D) Q only,MCQ,"reasoning,grade_10,arrangement",grade_10_logic
Reasoning,AP-G10-R-08,GRADE_10,A cube has opposite faces numbered 1 and 6. If top is 1 then bottom is? A) 2 B) 3 C) 5 D) 6,MCQ,"reasoning,grade_10,spatial",grade_10_spatial
Aptitude,AP-COL-A-01,COLLEGE,How many arrangements are possible for 5 students in a row? A) 24 B) 60 C) 120 D) 240,MCQ,"aptitude,college,permutation",college_quant
Aptitude,AP-COL-A-02,COLLEGE,Probability of getting exactly 2 heads in 3 coin tosses is? A) 1/8 B) 2/8 C) 3/8 D) 4/8,MCQ,"aptitude,college,probability",college_stats
Aptitude,AP-COL-A-03,COLLEGE,Value of log10(1000) is? A) 2 B) 3 C) 10 D) 100,MCQ,"aptitude,college,logarithm",college_quant
Aptitude,AP-COL-A-04,COLLEGE,If f(x)=2x^2-3x then f(4) is? A) 16 B) 18 C) 20 D) 22,MCQ,"aptitude,college,algebra",college_algebra
Aptitude,AP-COL-A-05,COLLEGE,Mean of 4 8 10 14 14 is? A) 9 B) 10 C) 11 D) 12,MCQ,"aptitude,college,statistics",college_stats
Aptitude,AP-COL-A-06,COLLEGE,A tank fills in 6 hours and empties in 9 hours. Net fill time is? A) 12 hours B) 15 hours C) 18 hours D) 21 hours,MCQ,"aptitude,college,time_work",college_application
Aptitude,AP-COL-A-07,COLLEGE,Percentage increase from 120 to 150 is? A) 20% B) 22% C) 25% D) 30%,MCQ,"aptitude,college,percentage",college_quant
Aptitude,AP-COL-A-08,COLLEGE,Simplify (x^2 - 1)/(x - 1) at x=5. A) 4 B) 5 C) 6 D) 8,MCQ,"aptitude,college,algebra",college_algebra
Reasoning,AP-COL-R-01,COLLEGE,Argument: City buses should be electric. Which option best strengthens it? A) Electric buses reduce fuel imports B) Electric buses are colorful C) Drivers prefer old buses D) Tickets stay unchanged,MCQ,"reasoning,college,critical",college_critical
Reasoning,AP-COL-R-02,COLLEGE,All analysts are logical. Some logical people are designers. Which is valid? A) All designers are analysts B) Some analysts may be designers C) No analyst is designer D) All logical are analysts,MCQ,"reasoning,college,syllogism",college_logic
Reasoning,AP-COL-R-03,COLLEGE,Statement: Remote work saves commute time. Assumption: Commute takes measurable time. A) Assumption follows B) Assumption does not follow C) Neither can be judged D) Statement false,MCQ,"reasoning,college,assumption",college_inference
Reasoning,AP-COL-R-04,COLLEGE,In a team of six A sits second from left and B sits immediate right of A. Position of B is? A) First B) Second C) Third D) Fourth,MCQ,"reasoning,college,arrangement",college_logic
Reasoning,AP-COL-R-05,COLLEGE,Choose the odd one out: API SDK IDE SQL. A) API B) SDK C) IDE D) SQL,MCQ,"reasoning,college,classify",college_tech_reasoning
Reasoning,AP-COL-R-06,COLLEGE,Cause: Server response time dropped after cache enabled. Best inference is? A) Cache likely improved performance B) Database deleted C) Users stopped logging in D) Network failed,MCQ,"reasoning,college,cause_effect",college_inference
Reasoning,AP-COL-R-07,COLLEGE,Data sufficiency: Is x > y? I: x-y=3 II: x+y=10. A) I alone sufficient B) II alone sufficient C) Both together sufficient D) Neither sufficient,MCQ,"reasoning,college,data_sufficiency",college_analytical
Reasoning,AP-COL-R-08,COLLEGE,Algorithm is to Program as Recipe is to? A) Kitchen B) Dish C) Chef D) Grocery,MCQ,"reasoning,college,analogy",college_verbal
