sequence_no,chapter,question_type,difficulty_level,max_marks,question_text,correct_answer,question_image,options_json
14,Symmetry,fill_in_blank,Easy,1,Fill in the blank: The isosceles triangle shown has ____ line of symmetry.,1,/session_materials/35/images/g6_math_img_q14.svg,[]
15,Symmetry,multiple_choice,Easy,1,"In the grid image, the red line acts as:",Vertical mirror line,/session_materials/35/images/g6_math_img_q15.svg,"[{""option_text"": ""Horizontal axis"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Vertical mirror line"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""Diagonal line"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Number line"", ""is_correct"": false, ""option_image"": """"}]"
16,Symmetry,multiple_choice,Medium,1,The shape on the right side is the ____ of the shape on the left.,Reflection,/session_materials/35/images/g6_math_img_q16.svg,"[{""option_text"": ""Translation"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Rotation"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Reflection"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""Enlargement"", ""is_correct"": false, ""option_image"": """"}]"
17,Perimeter and Area,short_answer,Medium,2,Find the perimeter of the rectangle (12 cm by 7 cm).,38 cm,/session_materials/35/images/g6_math_img_q17.svg,[]
18,Perimeter and Area,short_answer,Medium,2,Find the area of the rectangle (12 cm by 7 cm).,84 sq cm,/session_materials/35/images/g6_math_img_q18.svg,[]
19,Mensuration,multiple_choice,Medium,1,How many unit squares are in the L-shaped grid figure?,33,/session_materials/35/images/g6_math_img_q19.svg,"[{""option_text"": ""30"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""31"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""33"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""35"", ""is_correct"": false, ""option_image"": """"}]"
20,Mensuration,fill_in_blank,Medium,1,Fill in the blank: Area of the L-shape is ____ square units.,33,/session_materials/35/images/g6_math_img_q20.svg,[]
21,Mensuration,fill_in_blank,Easy,1,Fill in the blank: 2 m = ____ cm.,200,/session_materials/35/images/g6_math_img_q21.svg,[]
22,Mensuration,short_answer,Medium,2,Convert 350 cm into metres.,3.5 m,/session_materials/35/images/g6_math_img_q22.svg,[]
23,Data Handling,multiple_choice,Easy,1,Which day has the highest value in the bar graph?,Thursday,/session_materials/35/images/g6_math_img_q23.svg,"[{""option_text"": ""Monday"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Tuesday"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Thursday"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""Friday"", ""is_correct"": false, ""option_image"": """"}]"
24,Data Handling,short_answer,Easy,2,Find total of Monday and Tuesday values.,11,/session_materials/35/images/g6_math_img_q24.svg,[]
25,Data Handling,fill_in_blank,Easy,1,Fill in the blank: Thursday value is ____.,9,/session_materials/35/images/g6_math_img_q25.svg,[]
26,Data Handling and Presentation,multiple_choice,Easy,1,"In the pictograph, 1 star = 2 students. Blue has 5 stars. Number of students in Blue is:",10,/session_materials/35/images/g6_math_img_q26.svg,"[{""option_text"": ""8"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""9"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""10"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""12"", ""is_correct"": false, ""option_image"": """"}]"
27,Data Handling and Presentation,short_answer,Medium,2,"In the pictograph, find total students across Red, Blue and Green.",24,/session_materials/35/images/g6_math_img_q27.svg,[]
28,Data Handling and Presentation,fill_in_blank,Easy,1,"From tally table, Banana frequency is ____.",7,/session_materials/35/images/g6_math_img_q28.svg,[]
29,Data Handling and Presentation,short_answer,Medium,2,"From tally table, find total frequency of all items.",16,/session_materials/35/images/g6_math_img_q29.svg,[]
30,Data Handling and Presentation,multiple_choice,Easy,1,"From tally table, which item has highest frequency?",Banana,/session_materials/35/images/g6_math_img_q30.svg,"[{""option_text"": ""Apple"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""Banana"", ""is_correct"": true, ""option_image"": """"}, {""option_text"": ""Mango"", ""is_correct"": false, ""option_image"": """"}, {""option_text"": ""All equal"", ""is_correct"": false, ""option_image"": """"}]"
