Section,Question_ID,Question_Text,Type,Tags,Adaptivity_Notes
Problem-Solving & Scenarios,6,For a cyber attack: A) Code secure system B) Ethical review C) Team coordination D) Quick data fix,Scenario MCQ,"aptitude, ai_tech, data",
Problem-Solving & Scenarios,7,"Prioritize for EV boom: Battery design, Green hydrogen, AI ethics, Carbon tracking",Ranking,"aptitude, green, ai_tech",
Problem-Solving & Scenarios,8,Rate comfort with complex problems like climate modeling (1–5),Slider,"aptitude, green",
Problem-Solving & Scenarios,9,Company needs innovation: A) AI tools B) Renewable energy C) Biotech health D) FinTech apps,MCQ,"aptitude, ai_tech, green, healthcare, data",
Problem-Solving & Scenarios,10,How would you optimize a supply chain for sustainability?,Open Short,"aptitude, green",
Problem-Solving & Scenarios,11,"Rank solutions for healthcare access: AI diagnostics, Telemedicine, Data analytics, Community programs",Ranking,"aptitude, healthcare, ai_tech, data",
Problem-Solving & Scenarios,12,Slider: Comfort troubleshooting tech issues (1-5),Slider,"aptitude, ai_tech",
Problem-Solving & Scenarios,13,Scenario: Build a smart city feature - what focus? A) AI traffic B) Green energy grid C) Health sensors D) Data privacy,MCQ,"aptitude, ai_tech, green, healthcare, data",
Problem-Solving & Scenarios,14,How to use AI for disaster prediction?,Open Short,"aptitude, ai_tech, green",
Problem-Solving & Scenarios,15,"Rank AI applications: Education, Environment, Medicine, Finance",Ranking,"aptitude, ai_tech, green, healthcare, data",
Problem-Solving & Scenarios,16,Slider: Ability to think systems-wide (1-5),Slider,aptitude,
Problem-Solving & Scenarios,17,MCQ: Fix water scarcity: A) AI forecasting B) Solar desalination C) Health impact study D) Data mapping,MCQ,"aptitude, ai_tech, green, healthcare, data",
Problem-Solving & Scenarios,18,Open: Strategy for cyber security in smart homes.,Open Short,"aptitude, ai_tech",
Problem-Solving & Scenarios,19,"Rank green tech: Wind turbines, Solar farms, Biofuels, Recycling AI",Ranking,"aptitude, green",
Problem-Solving & Scenarios,20,Slider: Interest in ethical dilemmas (1-5),Slider,aptitude,
Problem-Solving & Scenarios,21,MCQ: Improve farming: A) AI crop prediction B) Sustainable methods C) Health nutrition D) Data yield analysis,MCQ,"aptitude, ai_tech, green, healthcare, data",
Problem-Solving & Scenarios,22,Open: How to use data for public health?,Open Short,"aptitude, healthcare, data",
Problem-Solving & Scenarios,23,"Rank challenges: AI bias, Climate change, Disease outbreaks, Data privacy",Ranking,"aptitude, ai_tech, green, healthcare, data",
Problem-Solving & Scenarios,24,Slider: Comfort with uncertainty in problem-solving (1-5),Slider,"aptitude, resilience",
Problem-Solving & Scenarios,25,MCQ: Energy crisis solution: A) AI grid optimization B) Renewables scale-up C) Health impact mitigation D) Economic data modeling,MCQ,"aptitude, ai_tech, green, healthcare, data",
Learning Style & Resilience,1,Best learning method: A) Videos/experiments B) Data/charts C) Group discussions D) Hands-on building,MCQ,"socio_emotional, learning_style","If hands-on high, add practical Qs"
Learning Style & Resilience,2,"When things get hard, I keep trying (1–5 agree)",Slider,"socio_emotional, resilience",<2.5 triggers motivational
Learning Style & Resilience,3,"What helps you learn tech? Practice, Teachers, Online tools, Friends",Ranking,"socio_emotional, learning_style, ai_tech",
Learning Style & Resilience,4,Facing failure: A) Try new ways B) Ask help C) Give up D) Analyze why,MCQ,"socio_emotional, resilience",
Learning Style & Resilience,5,What motivates you to learn something new?,Open Short,"socio_emotional, resilience",
Learning Style & Resilience,6,I adapt well to changes like new AI tools (1–5),Slider,"socio_emotional, resilience, ai_tech",
Learning Style & Resilience,7,"Rank resilience boosters: Goals, Support, Learning from mistakes, Breaks",Ranking,"socio_emotional, resilience",
Learning Style & Resilience,8,Preferred project: A) Solo coding B) Team eco-plan C) Group health app D) Data solo analysis,MCQ,"socio_emotional, learning_style, ai_tech, green, healthcare, data",
Learning Style & Resilience,9,Slider: Enjoy group learning (1-5),Slider,"socio_emotional, learning_style",
Learning Style & Resilience,10,MCQ: Handle stress: A) Plan B) Talk C) Exercise D) Reflect,MCQ,"socio_emotional, resilience",
Learning Style & Resilience,11,Open: How do you bounce back from setbacks?,Open Short,"socio_emotional, resilience",
Learning Style & Resilience,12,"Ranking: Learning preferences: Visual, Auditory, Kinesthetic, Reading",Ranking,"socio_emotional, learning_style",
Learning Style & Resilience,13,Slider: Persistence in challenging tasks (1-5),Slider,"socio_emotional, resilience",
Learning Style & Resilience,14,MCQ: Best for new skills: A) Tutorials B) Projects C) Classes D) Books,MCQ,"socio_emotional, learning_style",
Learning Style & Resilience,15,Open: What role does failure play in your learning?,Open Short,"socio_emotional, resilience",
Tech & Digital Comfort,1,Used AI like ChatGPT? A) Often B) Sometimes C) Never,MCQ,"tech_readiness, ai_tech","If A, more AI Qs"
Tech & Digital Comfort,2,Comfort creating AI prompts or apps (1–5),Slider,"tech_readiness, ai_tech",
Tech & Digital Comfort,3,"Interest in: Drones for farming, AI healthcare, Renewable tech, Cyber security",Ranking,"tech_readiness, ai_tech, green, healthcare",
Tech & Digital Comfort,4,2030 job fix: A) Prompt AI for climate data B) Design solar system C) Code health bot D) Secure networks,Scenario,"tech_readiness, ai_tech, green, healthcare",
Tech & Digital Comfort,5,What excites/worries you about AI in jobs?,Open Short,"tech_readiness, ai_tech",
Tech & Digital Comfort,6,Enjoy: A) Building IoT devices B) Managing green data C) Ethical AI D) FinTech coding,MCQ,"tech_readiness, ai_tech, green, data",
Tech & Digital Comfort,7,Rate skills in digital tools like coding or data viz (1–5),Slider,"tech_readiness, ai_tech, data",
Tech & Digital Comfort,8,"Prioritize emerging tech: EVs, Green hydrogen, Prompt engineering, Biotech AI",Ranking,"tech_readiness, green, ai_tech, healthcare",
Tech & Digital Comfort,9,MCQ: Familiar with blockchain? A) Yes B) Somewhat C) No,MCQ,"tech_readiness, data",
Tech & Digital Comfort,10,Slider: Interest in cybersecurity (1-5),Slider,"tech_readiness, ai_tech",
Tech & Digital Comfort,11,Open: Favorite digital tool and why?,Open Short,tech_readiness,
Tech & Digital Comfort,12,"Ranking: Tech skills: Coding, Networking, Data analysis, UI design",Ranking,"tech_readiness, ai_tech, data",
Tech & Digital Comfort,13,Scenario: Debug a robot - how?,Open Short,"tech_readiness, ai_tech",
Tech & Digital Comfort,14,MCQ: Used coding platforms? A) Yes B) No,MCQ,"tech_readiness, ai_tech",
Tech & Digital Comfort,15,Slider: Comfort with cloud computing (1-5),Slider,"tech_readiness, ai_tech",
Tech & Digital Comfort,16,"Ranking: Future tech: VR/AR, Blockchain, Quantum, IoT",Ranking,"tech_readiness, ai_tech",
Tech & Digital Comfort,17,Open: Thoughts on digital ethics?,Open Short,"tech_readiness, ai_tech",
Tech & Digital Comfort,18,MCQ: Interest in app development: A) High B) Medium C) Low,MCQ,"tech_readiness, ai_tech",
Tech & Digital Comfort,19,Slider: Knowledge of machine learning (1-5),Slider,"tech_readiness, ai_tech",
Tech & Digital Comfort,20,"Ranking: Digital tools: Excel, Python, Adobe, GitHub",Ranking,"tech_readiness, data, ai_tech",
Values & Impact Orientation,1,"Career priorities: High pay, Planet impact, Innovation, Helping others, Stability",Ranking,"motivation, green, ai_tech, healthcare",Tie to top clusters
Values & Impact Orientation,2,I want work that fights climate change (1–5),Slider,"motivation, green",
Values & Impact Orientation,3,Matters most: A) Tech creation B) Sustainability C) Health equity D) Data ethics,MCQ,"motivation, ai_tech, green, healthcare, data",
Values & Impact Orientation,4,Dream 2035 job—what would you do and why?,Open Short,motivation,
Values & Impact Orientation,5,"Value in jobs: Ethics, Growth, Teamwork, Independence",Ranking,motivation,
Values & Impact Orientation,6,Interest in purpose roles like green consulting (1–5),Slider,"motivation, green",
Values & Impact Orientation,7,Prefer career that: A) Advances AI B) Builds renewables C) Improves care D) Analyzes trends,MCQ,"motivation, ai_tech, green, healthcare, data",
Values & Impact Orientation,8,Slider: Value helping society (1-5),Slider,"motivation, healthcare",
Values & Impact Orientation,9,"Ranking: Job factors: Salary, Impact, Creativity, Security",Ranking,motivation,
Values & Impact Orientation,10,Open: What global issue do you want to solve?,Open Short,"motivation, green, healthcare",
Values & Impact Orientation,11,MCQ: Ethics in tech important? A) Very B) Somewhat C) Not much,MCQ,"motivation, ai_tech",
Values & Impact Orientation,12,Slider: Interest in social entrepreneurship (1-5),Slider,motivation,
Values & Impact Orientation,13,"Ranking: Impact areas: Environment, Health, Education, Economy",Ranking,"motivation, green, healthcare",
Values & Impact Orientation,14,Open: Why innovation matters to you?,Open Short,"motivation, ai_tech",
Values & Impact Orientation,15,MCQ: Prefer stable job or risky high-impact?,MCQ,motivation,
